center,velocity,velocity_err,dispersion,dispersion_err,EW,EW_err
152,440.8489561003362,119.63287821726331,224.35177086006883,165.7931263815572,12.918969102091008,17.530852386314773
153,272.97179148938505,231.47188532926376,280.42746481455083,304.170232542397,7.111169066850752,8.879668373885849
154,249.45952408847342,217.43995984784488,332.3627207005891,318.29675752964226,9.109188079365532,10.352504010703345
155,193.4375420635773,147.31164350336977,70.73271639087861,369.5315361258453,3.5355530063619476,5.09106328158959
156,143.4625272660904,118.35733968897098,1.0138088846318687,9290.210886981533,5.1293956976483575,9.602618100716146
157,228.22394224300032,609.3091258601853,192.34514205869905,761.1948127724828,6.408518541034856,24.631504163578615
158,181.61869173271722,313.36897109334353,1.0138088846318687,28527.05180791132,5.190453958020002,25.207676317636952
159,310.7596040482249,371.8928782863809,161.74480422286283,513.4517667453449,10.828979885242347,49.35093749701822
160,443.06867720003487,728.6027291278712,330.810967984281,750.8286981849889,12.812665013057348,56.28859135305156
161,423.2944689739157,366.03715989063716,1.0138088846318687,29348.81916126779,2.8550456127196777,10.493335974521067
162,108.63978477028922,2.1999120988640158e-10,1.0138088846326072,2.429711805778638e-10,0.0,
163,112.90298532480782,1.7644084082512034e-12,1.013808884651098,1.3770438230841953e-12,0.0,
164,30.426976174199584,1.1921932009671318e-10,537.8425995919147,3.579913324303265e-10,0.0,
165,144.719503791701,4.949713302945597e-11,1.0138088846718383,7.997634559802454e-11,0.0,
166,138.00346685385065,6.77772237105024e-10,1.0138088846318687,3.953149693645096e-10,0.0,
167,426.995566520075,81.00794312688394,68.82781027405902,193.98315844254998,6.350969712897874,7.736740548123035
168,817.5226097838546,202.31765541396743,499.69545839773474,343.634509943053,23.346480481028703,27.3693624268207
169,554.1615777382342,201.54965034185258,419.4161326667819,261.3812365911493,18.68597250635131,31.28172901150368
170,460.2474106344786,159.4262372614598,339.6350993002285,180.26566651114965,15.540364018621158,21.683516917001015
171,277.5578862780216,67.93453239321323,195.52558658820325,80.71932141970913,16.839959661811626,20.67133945421588
172,235.4415382391071,36.0845608480685,154.84034079979998,44.81461634139113,22.47647123533476,24.304661626727352
173,206.39790439660317,18.824474535220016,109.81664872565737,27.31419748121945,27.233352392619103,24.197414887644122
174,207.4303017869806,11.692092265966775,110.32179099413875,17.010604924416576,30.05027582518312,17.785600559667667
175,194.58639459748656,9.453821694234378,114.37996656377457,14.005156337816745,37.70034229534814,23.727423304779165
176,185.44323163576342,15.009603583460956,109.06102013394813,22.669858314537883,35.588085806148335,34.58416799262485
177,183.68631496903865,15.13161514942437,110.3558603894643,22.818206820421718,33.8374913788181,31.118694808912682
178,177.27392827092692,16.302248461194058,110.97407935120442,24.53904915329629,29.40422693834528,25.510166900538966
179,168.99735948729327,17.763277060228923,110.72360535533396,26.547905684990155,25.439235832960385,20.831362513295495
180,168.58829688537156,21.718741850777942,118.35497129441575,31.465156117273814,19.796682781085195,14.783422395976396
181,162.6159928403117,19.583780214981594,128.01146541153125,27.088212954517285,16.772829338299715,8.837339566613183
182,147.4209855052244,46.43866029643962,130.67509309512752,63.84189855424782,10.215058742793316,7.918956391032954
183,143.44585764484444,71.42315923478526,143.62258485861216,94.93315851160793,7.742267098317894,6.618384631122857
184,119.80935328801111,81.0526629164465,146.99446206904344,109.15433045749378,6.916538578124285,5.616706665281337
185,103.34222919056762,70.59216054648185,127.4626320072665,99.6216509874623,6.05567421925684,4.504604620711629
186,120.89703246859625,61.078500137893556,134.2113764167894,87.18509412222468,6.193293788746836,3.8852748347145427
187,134.93149547076402,27.012219457371618,115.92974365057115,39.92669913816771,7.230021387599573,2.5548232551417493
188,153.4641428784226,22.89640567859525,118.42819728674215,33.86581510474926,7.448062447553329,2.2780872328338257
189,161.42562652380929,23.39251172365556,113.05725668155472,34.36634299250394,7.310157085182523,2.2247082684888975
190,149.8649578223939,22.415704310131893,122.90719011306193,32.632604519362886,7.979498097078307,2.4768886818664253
191,148.43288579245393,22.694089368867772,123.97701768059027,32.386478573562634,8.518630856019204,2.7556118188878327
192,145.6520671843537,24.882944477813428,131.51763720003822,33.44200536480928,7.969749943565364,2.5194001083299975
193,133.9739818058237,27.53521880624688,140.2426514772408,37.918653063342866,7.634291450232045,2.47212525186724
194,129.62904689669497,27.943544324325845,133.8046149718673,38.71957832484558,7.098967993482702,2.3182839199064547
195,131.2108355538247,28.442280624374284,130.47817572583526,39.60894770196028,7.471713426210899,2.58515879339479
196,109.5489114806405,29.02049463543631,119.611736045555,41.96012434752771,6.748584660374084,2.3651125700611475
197,91.3775980546208,28.058786549106518,97.20023849734436,45.22761531956173,6.840031350277259,2.5172325495441243
198,92.80568412660338,26.157362162775392,110.7050814999366,39.01386347203817,8.285195587886454,3.2585203196675714
199,84.40582609568617,27.030770993529874,106.36812213340546,40.94778334958247,8.83397788941107,3.7658168263750706
200,112.02202457379242,35.16394790265408,176.1764421610897,43.9878391843962,10.253681992015611,4.381270034628354
201,137.12533284873695,40.52390686158815,188.12842962635185,48.08811953013614,10.433582410863451,4.9389495041516875
202,142.64461037391217,30.390987106896468,160.99681663216933,37.419870745821875,14.736505338953055,8.367421858460311
203,161.59078259280574,29.961830326049334,148.89975016401468,37.62791824219778,15.103810046164304,9.17366554993218
204,176.05571246269676,29.524584034232536,158.69316919800949,36.333744885134735,19.214655446947887,13.902160940158462
205,125.19782065104785,32.38756094932474,132.23331956248347,43.352959765116374,15.630539299321928,11.774668719234969
206,141.1461146145769,86.21660474429049,85.13356341293843,153.562874423837,6.932162591615908,9.131961535628252
207,104.38526821112274,173.37027060945795,85.71135153430332,322.91960431719383,3.333659382966667,5.112030150964092
208,145.81812377976362,301.9657191584928,69.02566912124065,384.51764398790857,3.0500207236291836,5.947822194729403
209,112.12774681068916,494.11504549387354,1.0138088846318687,36461.27491185306,1.0427825765005143,3.4439350551333767
210,130.67449094827842,805.651244223436,1.0138088846318687,30209.593388808215,0.7092722800407111,3.653386757391809
211,60.359043095890335,172.18468165175108,1.0138088846318687,10067.972088528748,2.7097444401378006,4.551878620640884
212,151.7368678053365,112.83294051613504,1.0138088846318687,8336.989908488391,2.9122137240658224,3.3658853029402014
213,180.95512708089925,91.71140758406182,1.0138088846318687,6380.184925889912,3.8174297142290805,4.302896540481319
214,270.59891903853435,81.60992353598705,1.0138088846318687,5416.214529614919,5.674968217376773,7.84067738468758
215,253.678278362425,82.39491323441538,1.0138088846318687,5467.080802942139,7.311693371075424,12.819760976015749
216,259.89156029361186,109.20256083920441,1.0138088846318687,7577.772553994193,8.979651412313173,25.478289943487706
