center,velocity,velocity_err,dispersion,dispersion_err,EW,EW_err
152,-0.9141358572047235,1136.652839513831,487.91211294949136,1239.8007116478357,24.129766154078258,230.94253725360167
153,-731.9689934267067,1181.6542589914286,1000.0000000000001,1296.6772713832142,63.83781376250205,539.3994101413374
154,-371.149827881979,85.31179698696131,61.17542100023171,153.7829058305308,28.213517160290248,152.64172010321377
155,-420.3500545242958,61.02766099313283,1.0105335104084363,4837.331816487183,23.697010977080428,98.44520375875284
156,-1122.0568099608697,574.604318340885,962.2146818448037,630.9053831768643,52.27085455460906,195.62497499917296
157,4.943120607834078e-13,1.116074620978132e-12,199.9999999999973,1.89962937823192e-12,0.0,
158,-4.748866716004173e-13,2.926014840943015e-10,199.99999999999957,1.5671467080679034e-10,0.0,
159,-1.3659346419750652e-12,2.2861668544786627e-10,200.0000000000001,1.8277116677636706e-10,0.0,
160,7.641967825795752e-13,5.075283923759318e-10,199.99999999999963,2.6372105423675935e-10,0.0,
161,1.834247577811357e-12,4.279621140553525e-11,199.99999999999605,5.941298157778174e-11,0.0,
162,2.0285672069989033e-12,2.9758475223029827e-10,200.00000000000463,7.135022074465058e-11,0.0,
163,-4.5392521949387615e-12,2.2163082371247962e-10,200.00000000000122,2.754506564970433e-10,0.0,
164,4.288880512135773e-12,4.424090676320949e-13,200.00000000000355,3.745345697294284e-13,0.0,
165,2.9632647828473437e-12,6.606013954233538e-13,200.0000000000001,7.452848689556148e-13,0.0,
166,-1.3781617904963385e-12,3.538297520459888e-10,200.00000000000472,4.2471193894997603e-11,0.0,
167,-2.3840090997651626e-12,4.10203499482364e-13,200.00000000000094,1.0565969616942904e-13,0.0,
168,-1.2176984069751505e-11,1.5224732216921056e-10,200.0000000000264,7.121774226795608e-11,0.0,
169,5.630760759327276e-13,1.5271971588616337e-09,199.99999999999906,1.3502266600867553e-09,0.0,
170,-135.75179952322716,419.72085455151745,181.2581040610164,508.72626333065546,2.6794562505573967,5.08123253030806
171,-306.799870671202,89.12882019870544,41.397197125313895,292.72634665416206,4.788078462045885,5.9409463989682685
172,-240.0099967279484,55.85795617335739,157.76501087815757,71.41342900062062,10.916256460613175,9.178934010066468
173,-218.3824128281755,56.62931610130278,155.54238766583626,71.30787015055324,12.215545203730631,9.983691993825444
174,-196.9525996586519,40.15352167356237,162.29879331811722,50.5631564645126,12.659357236601073,7.423361759623153
175,-199.7733962093124,30.798105450034054,177.39552738042502,37.89344620311354,12.323065111393738,5.730135571269693
176,-201.60669739942483,29.359437432015493,186.13454700942518,35.79940218071153,11.920128968663512,4.868073603905219
177,-196.83273695295966,32.88581092307591,198.9870019049815,43.29026529115257,10.698052543831585,3.8778979973392786
178,-205.98773136724623,27.548419996969447,177.66123033857085,36.822547385376105,9.07875199439906,2.5717298812480314
179,-227.03492252925338,31.427865833439334,168.7787521256402,39.750022320549,7.968154203603084,2.1851704373965033
180,-229.10165392367992,35.530752852930824,176.20073867317285,43.073430743718795,7.362108690715169,1.9198103835221338
181,-192.08961569824396,29.28591754548987,199.11173138567239,37.66066994321953,7.517918025892045,1.8252690282388362
