center,velocity,velocity_err,dispersion,dispersion_err,EW,EW_err
155,11149.545048575155,574.3026731770786,419.81851826219264,566.4319036438734,0.0,
156,11157.393972032007,631.1047721698893,420.1888037974402,549.4169287699088,0.0,
157,11193.103830621472,697.9807223210703,434.72657019341864,635.4132383555859,0.0,
158,13083.560261527053,3522.0602626185982,1000.0,2444.454381217833,-71.54183246892171,385.5225640914258
159,11807.200612387931,2407.0970043263665,1000.0,2486.941329071812,0.0,
160,11674.285364242283,667.9472652403822,284.6889213789605,648.8573011286032,3.7916449636205614,17.271774522924108
161,11524.106374114226,534.1276182619624,284.1245328670099,485.65477496620707,5.355820569136519,23.397872431663686
162,11429.885783490387,314.31565082406223,314.54424936072564,353.1400023208076,2.109304052302818,8.61691867420379
163,11380.524704910698,233.24869754717383,275.6759655159595,258.1395023696881,1.802956268507467,6.943245351052256
164,11351.083453369301,202.53081761959177,268.6759029774163,218.1736730705551,2.3507322984856183,7.3398371521054
165,11358.04436199982,179.48534083223672,219.94096943875883,198.08425910454565,1.1119375042993564,4.421490037076349
166,11324.257746002964,221.14663726555122,270.4818134039381,231.89960462508117,0.0,
167,11362.335345903823,199.0524320915048,291.1060267433789,212.68493778070595,1.7319960719488066,5.87457336110736
168,11385.647251793676,217.18583873671966,272.6876130973607,236.69257753838906,1.5794502677385864,5.0637639369428
169,11427.537928803682,164.93256264727756,212.31079849545245,161.75876062863614,5.72754871064348,14.787181302162878
170,11431.290666742001,85.96937640887325,65.5350920936146,197.8936624073873,0.3465671496678139,2.6086818772037583
171,11431.881264276846,90.51418377152191,99.27903821071031,157.06670917901798,0.7871213621368872,2.865648802190519
172,11439.239580696563,89.31836765280208,82.69832290760125,167.3917477956285,1.0026545287926794,2.8719671552685897
173,11443.514720683272,85.08342525968301,80.6919541450612,160.89770254524865,0.5049366977145817,2.403287972428559
174,11457.029800411414,86.14224494427658,59.133753136937116,163.17623109111602,0.45615366765096665,2.2285731907370736
