center,velocity,velocity_err,dispersion,dispersion_err,EW,EW_err
155,11357.850601793247,118.93038803276728,283.3627041552035,121.1513928511681,4.184071422803885,7.647398943669594
156,12265.265623750473,132.09761280175084,375.2145688916728,182.81183184221453,12.698953512884662,14.203747115498794
157,12513.268445986978,732.5742542635926,1000.0000000000001,492.86496571076526,36.06919998822025,59.57196090220794
158,11415.28450380327,236.82227096395914,634.948020052183,227.34836316446834,0.0,
159,11285.564112269334,82.87279040536711,240.58326115300306,103.31638381366703,-0.0,
160,12505.368528282486,762.929347127752,925.2296022976575,535.8704907400065,46.64620788944622,85.77529572047779
161,12133.517421231561,100.35833277514608,260.4860751936428,82.99362824837783,17.507139819278933,22.450118316118772
162,12103.47546834649,93.40451682653362,254.06150366617484,82.180099034888,16.35519852485226,19.517925785795235
163,12122.737256676335,97.28979595295996,275.3967150394274,88.39508107422715,17.454425495284095,20.741137969990326
164,12167.81628674246,87.12841705721964,262.651074101848,79.95959134409648,20.64270390061834,27.34457524113176
165,12189.915385623963,91.29706867041754,262.4138088357733,89.7109795964663,19.91635051592075,25.888359199332154
166,12127.849418413689,68.87321655068993,140.34331379563343,89.97475525071589,9.910041345616154,9.713873802747731
167,11831.190561832253,93.0644095924227,1.0471696058629987,7106.427808861205,2.1107465770929648,2.6222542473553734
168,12285.100376829741,77.9988211825677,236.15191889543834,83.21654793848985,12.213029538146163,12.725889461284744
169,12202.354345961829,80.38134265628626,209.75799949921822,91.42955806565813,9.746966407837563,8.883336883242848
170,11299.714583887964,98.60221254758716,208.90623221321994,111.94652699929854,0.0,
171,12322.39653507871,94.18247665871488,256.2594298433197,113.04101127600019,13.64663356531604,18.0024752193392
172,12302.600802453131,112.01836294209322,273.7740174036226,136.47521304569543,10.278596102960075,11.998496581715989
173,12247.797806673527,186.40251758229468,306.9472674902558,225.17715401971262,10.613922236518746,14.541480621377112
174,12150.535543591672,226.86935181803113,358.70615723726297,274.1438364188739,10.567496742880213,14.005401724435542
175,12100.012363041027,219.22809030987358,386.6370836227655,265.33179920704487,12.199026178642693,15.677306884134518
176,12081.022820070437,286.5201717940237,444.717397961353,339.8359441708908,11.621486333944375,14.799813219812778
177,12079.817888175176,245.30990758208566,406.5849456743316,286.1921295263972,11.30516784161251,12.870993267751606
178,11765.262157565192,98.82696157033469,195.33440564798505,119.17166679663981,8.101348029476677,8.860816454792499
179,11710.134329132841,73.70445141828246,151.9307751104583,109.53465932718704,7.294476724434596,7.324434460774548
180,11714.359826641054,52.61849187705222,131.2652855035372,72.40029751430686,7.110800937704191,5.123995659128964
181,11757.703429807023,53.09025124297631,148.35313342144872,68.05649312942026,7.431731196946785,4.880404489809829
182,11777.980965446455,44.4224073895707,162.65805967393857,54.99825046676799,8.915293473849752,5.268786065377628
183,11786.655386654666,28.089290016625217,164.543570576279,38.97298375811466,11.917694976280737,5.729931907339077
184,11795.918130964666,25.367588892384408,157.51590618030193,36.55302859210976,12.61842140164014,6.062424645138597
185,11815.213685208859,22.34805394027967,146.73487753954186,30.31930785233006,12.665963918285264,5.715080263791331
186,11816.900950090772,21.64364550394974,146.65752658302264,28.641395688105497,12.541560837165763,5.3161113152127975
187,11808.0974489361,21.3324973859547,141.02923123315375,28.070321290342154,11.764916545158973,4.86166675614457
188,11815.856074367051,20.834790059085837,124.16838722624951,30.437746990947687,10.368206524964938,4.135953357352591
189,11840.73023964784,19.75148232349894,122.18348391393724,29.10309047279063,11.369874666736255,4.680990851235592
190,11846.451099460057,20.386179750966022,119.71343846335407,31.663768093171587,10.973004232975853,4.52609484578503
191,11845.312050921604,19.78620874238129,111.06065484441783,31.67030970500297,10.18666241958005,4.080972986586692
192,11845.2377577986,21.34564162853634,110.64042093333792,35.18760191015826,9.042400626231023,3.5260009230605185
193,11860.617910284009,21.41905558575517,113.77816644351982,35.43346612247061,8.495238146255035,3.110284221950587
194,11873.358436022907,22.541205667192145,106.30869772567222,38.59843826548435,7.0717654551642095,2.368489720202396
195,11864.438793205443,24.194711838871175,108.09765163376356,40.049737312053125,6.608304767756931,2.2143040682915536
196,11872.201278308148,25.54152982315462,94.09497873403764,47.45906980870025,6.954021056924862,2.6579464232199967
197,11885.883028807482,24.49957002710925,79.78664158419619,50.4598871392035,7.194939748678065,2.8723073300929824
198,11885.052430695125,24.0533585974498,58.409012286328924,57.34754051745363,4.8913185106904296,1.6617819390220674
199,11882.683140783643,24.972507864113645,77.77980044026326,48.82135388544969,5.219949139163161,1.817131664394738
200,11877.753529872374,25.29575754585015,86.73556168479014,44.992210201833544,5.12535785128444,1.7307580305157075
201,11871.144640559827,26.133123544116074,98.65532978982806,43.13344398695836,5.438147032920259,1.8506081502256373
202,11870.423317050147,24.802069818521293,102.61836391417944,40.21842090808117,5.973738611393938,2.0308672614559486
203,11867.191949450154,21.69756667179588,96.91089016911042,36.97266841377589,6.78989495512833,2.335054318279857
204,11869.024283201083,18.741591827943346,79.29752892196063,36.16188457469907,7.5002064336294145,2.6397966433807145
205,11874.814541415579,17.818415770323814,79.26901530178034,34.696889769634986,8.095017893193797,2.8967698181064443
206,11865.288212127678,16.599135509264222,107.25623430191516,25.355946341665994,15.156113505597144,6.620235460711383
207,11869.819082256252,17.431803843935285,120.72094881625262,23.481472066050454,20.931664228089765,11.248986784962321
208,11874.979587582306,17.298358019209022,128.97266206681513,22.691787848169607,21.52915313319479,11.43380012672668
